,name,year,link,bgr,id
0,Lupin The 3rd vs. Cat’s Eye,2023,https://myflixer.to/movie/lupin-the-3rd-vs-cats-eye-95107,https://img.myflixer.to/xxrz/250x400/201/17/3e/173eda35b1e479f3af4237dc83ecea6e/173eda35b1e479f3af4237dc83ecea6e.jpg,95107
1,Ten Doors,2022,https://myflixer.to/movie/ten-doors-95080,https://img.myflixer.to/xxrz/250x400/201/fd/5e/fd5e3e1782eda50bb8baa298d324845e/fd5e3e1782eda50bb8baa298d324845e.jpg,95080
2,Everybody's Oma,2022,https://myflixer.to/movie/everybodys-oma-95077,https://img.myflixer.to/xxrz/250x400/201/f7/c0/f7c0ec07e917fde6176d3d60d1a0b698/f7c0ec07e917fde6176d3d60d1a0b698.jpg,95077
3,Attack of the Killer Chickens: The Movie,2022,https://myflixer.to/movie/attack-of-the-killer-chickens-the-movie-95074,https://img.myflixer.to/xxrz/250x400/201/63/dd/63ddc76c371f986b5c1f0b6f81edf4bb/63ddc76c371f986b5c1f0b6f81edf4bb.jpg,95074
4,After School Lunch Special 2: Sloppy Seconds,2022,https://myflixer.to/movie/after-school-lunch-special-2-sloppy-seconds-95071,https://img.myflixer.to/xxrz/250x400/201/9b/e6/9be6862dda6550865651a5eb26d9e9af/9be6862dda6550865651a5eb26d9e9af.jpg,95071
5,No Bears,2022,https://myflixer.to/movie/no-bears-95068,https://img.myflixer.to/xxrz/250x400/201/87/5b/875b80531a36e0b7341389a6d1b8a55e/875b80531a36e0b7341389a6d1b8a55e.jpg,95068
6,Kings of Mulberry Street: Let Love Reign,2023,https://myflixer.to/movie/kings-of-mulberry-street-let-love-reign-95065,https://img.myflixer.to/xxrz/250x400/201/67/b6/67b69dd7b48f2d28291289e6beeb9db4/67b69dd7b48f2d28291289e6beeb9db4.jpg,95065
7,Girl Picture,2022,https://myflixer.to/movie/girl-picture-95062,https://img.myflixer.to/xxrz/250x400/201/c0/7d/c07d206337b2093568058d4248cfa76a/c07d206337b2093568058d4248cfa76a.jpg,95062
8,Gangs of Lagos,2023,https://myflixer.to/movie/gangs-of-lagos-95059,https://img.myflixer.to/xxrz/250x400/201/83/2f/832fb84cfde7a4298e22f6116b73ff70/832fb84cfde7a4298e22f6116b73ff70.jpg,95059
9,Oh Belinda,2023,https://myflixer.to/movie/oh-belinda-95056,https://img.myflixer.to/xxrz/250x400/201/f9/c0/f9c09d1b5b4c65634147c80147ea3f07/f9c09d1b5b4c65634147c80147ea3f07.jpg,95056
